Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
YX16207T,0.0558086340910805,0,0.109508871463857,0.121868559133763,0,0.131964216339154,0,0.0124277240790037,0,0,0.0152969873430187,0.0381486808875503,0.122551964806607,0.032331574236949,0.0226125805609614,0.23325932013562,0,0,0.0928132523424341,0,0,0.011407634580001,0,0.2814082863227,0.965617920008006
YX16218T,0,0.0744930367883487,0.0544402058210342,0.0671609919109561,0,0.325131436191779,0.0184955878173299,0,0,0,0.0494434865226619,0,0.102563448952228,0.0498594612559097,0.0660041369614879,0.131343815994459,0,0.0350890928612591,0.0259752989225466,0,0,0,0,0.229117138379358,0.989307992176657
YX16222T,0,0.0241920831794139,0.0257246226441587,0.0473682024748811,0,0.136115704175977,0,0,0,0,0.0414677143219427,0,0,0.18219632419132,0.00917113564012717,0.32244932697065,0.0172728346528901,0,0,0.00488276051390082,0,0.189159291234738,0,0.188805577388223,1.02763467645989
YX16224T,0,0.122904973526551,0.0925205930915846,0.0877183667736025,0,0.220239998153957,0.0210847208764125,0.00638722890875698,0,0,0.00571512540952458,0.00615916484371354,0.00564991848891668,0.0517152339561383,0.0632419574513008,0.218402878261607,0.0181793315367575,0.0357769531856303,0.0391684637078167,0,0,0.00513509182773047,0,0.358985000997047,0.934018879036859
YX16227T,0,0.00850027965255392,0.188040425750355,0.113097599618257,0,0.226194461134094,0,0,0,0,0.0548552268785591,0,0.0385343322325997,0.121094592335897,0,0.2020355542137,0,0.032564541601856,0.0150829865821286,0,0,0,0,0.317005841260122,0.957189490455177
YX16236T,0,0.0172440248873435,0.264776635632954,0.0710146267277815,0.0196805987295606,0.22837264911695,0,0.00329869040476516,0,0,0.109694010156233,0,0.0653828945408021,0,0.0252661262086988,0.155639415436611,0,0.0311212801361643,0,0.00816119810729261,0.000347849914843684,0,0,0.35352581006786,0.94709042738443
YX15047T,0,0.0698794469605778,0.0593536758559445,0.0591319878331792,0,0.17348473140172,0,0.0964237126485436,0,0,0.056576650287135,0.002154976904326,0.0356359922626558,0.0109614547468139,0.0566533763059778,0.143903126514253,0,0.168039193081077,0.0678016751977961,0,0,0,0,0.181566444986132,1.00862418332546
YX15106T,0,0.0135233733342395,0.00239723906499275,0.0268479933697573,0,0.245275065250952,0.0609351116716277,0,0,0,0.087636016481673,0.000966171955168713,0.00940696754102092,0.0558310833860381,0.100936860833736,0.22274716524398,0,0.120808357790126,0.0526885940766881,0,0,0,0,0.0516718699864658,1.0674763646301
YX15166T,0,0.035896434267116,0,0,0,0.325339441263158,0,0,0,0,0.0679338831696207,0,0.0286563917818478,0,0.0371882627455209,0.405300834317079,0,0.0168448056886959,0.077252876708821,0,0,0.00558707005814041,0,0.0434595035352358,1.06673431119247
YX15187T,0,0.109935891204303,0.0362294526753153,0,0,0.292054786486566,0,0.0418397303229943,0,0,0.034840230249376,0.000199883710193591,0.024176711453166,0.109544984277057,0,0.143514544434627,0,0.153546945402829,0,0.0528145731260065,0.0013022666575649,0,0,0.030122485726133,1.0682810875978
